plate_id,plate_num,emulsion,filter,date_orig,observatory
24193,4727      ,Superpan,GG11,1934-01-11,Astrophysikalische Observatorium Potsdam
24194,4729      ,Superpan,GG11,1934-01-11,Astrophysikalische Observatorium Potsdam
24195,4732      ,Superpan,GG11,1934-01-11,Astrophysikalische Observatorium Potsdam
24196,4733      ,Superpan,GG11,1934-01-20,Astrophysikalische Observatorium Potsdam
24197,4736      ,Superpan,GG11,1934-01-20,Astrophysikalische Observatorium Potsdam
24198,4740      ,Superpan,G,1934-01-21,Astrophysikalische Observatorium Potsdam
24199,4743      ,Superpan,G,1934-01-21,Astrophysikalische Observatorium Potsdam
24200,4744      ,Superpan,G,1934-01-21,Astrophysikalische Observatorium Potsdam
24201,4747      ,Superpan,G,1934-01-22,Astrophysikalische Observatorium Potsdam
24202,4748      ,Superpan,G,1934-01-22,Astrophysikalische Observatorium Potsdam
24203,4751      ,Superpan,G,1934-01-25,Astrophysikalische Observatorium Potsdam
24204,4752      ,Superpan,G,1934-01-25,Astrophysikalische Observatorium Potsdam
24205,4755      ,Superpan,G,1934-01-25,Astrophysikalische Observatorium Potsdam
24206,4756      ,Superpan,G,1934-01-25,Astrophysikalische Observatorium Potsdam
24207,4759      ,Superpan,RG1,1934-02-14,Astrophysikalische Observatorium Potsdam
24208,4762      ,Superpan,GG11,1934-02-23,Astrophysikalische Observatorium Potsdam
24209,4763      ,Superpan,GG11,1934-02-24,Astrophysikalische Observatorium Potsdam
24210,4766      ,Superpan,GG11,1934-02-24,Astrophysikalische Observatorium Potsdam
24211,4767      ,Superpan,G,1934-02-24,Astrophysikalische Observatorium Potsdam
24212,4769      ,Superpan,G,1934-03-04,Astrophysikalische Observatorium Potsdam
24213,4772      ,Superpan,G,1934-03-04,Astrophysikalische Observatorium Potsdam
24214,4773      ,Superpan,G,1934-03-04,Astrophysikalische Observatorium Potsdam
24215,4776      ,Superpan,G,1934-03-04,Astrophysikalische Observatorium Potsdam
24216,4777      ,Superpan,G,1934-03-05,Astrophysikalische Observatorium Potsdam
24217,4780      ,Superpan,G,1934-03-05,Astrophysikalische Observatorium Potsdam
24218,4781      ,Superpan,G,1934-03-05,Astrophysikalische Observatorium Potsdam
24219,4784      ,Superpan,G,1934-03-08,Astrophysikalische Observatorium Potsdam
24220,4785      ,Superpan,G,1934-03-08,Astrophysikalische Observatorium Potsdam
24221,4794      ,Superpan,G,1934-03-17,Astrophysikalische Observatorium Potsdam
24222,4795      ,Superpan,G,1934-03-17,Astrophysikalische Observatorium Potsdam
24223,4798      ,Superpan,G,1934-03-17,Astrophysikalische Observatorium Potsdam
24224,4799      ,Superpan,G,1934-03-19,Astrophysikalische Observatorium Potsdam
24225,4802      ,Superpan,G,1934-03-19,Astrophysikalische Observatorium Potsdam
24226,4803      ,Superpan,G,1934-03-24,Astrophysikalische Observatorium Potsdam
24227,4806      ,Superpan,G,1934-03-24,Astrophysikalische Observatorium Potsdam
