plate_id,plate_num,emulsion,filter,date_orig,observatory
40155,1         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40156,2         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40157,3         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40158,4         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40159,5         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40160,6         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40161,7         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40162,8         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40163,9         ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40164,10        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40165,11        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40166,12        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40167,13        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40168,14        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40169,15        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40170,16        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40171,17        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40172,18        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40173,19        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
40174,20        ,Gevaert 67A50,NONE,1967-06-08,"Dr. Remeis-Observatory, Southern Station"
