plate_id,plate_num,emulsion,filter,date_orig,observatory
77005,000002    ,Perseuso,BG12,1954-06-19,Dr. Remeis-Observatory
77007,000003    ,Perseuso,BG12,1954-06-20,Dr. Remeis-Observatory
77009,000004    ,Superomnia,RG1,1954-06-20,Dr. Remeis-Observatory
77011,000005    ,Perseuso,BG12,1954-06-20,Dr. Remeis-Observatory
77013,000006    ,Perseuso,BG12,1954-06-24,Dr. Remeis-Observatory
77015,000007    ,Superomnia,RG1,1954-06-24,Dr. Remeis-Observatory
77017,000008    ,Perseuso,BG12,1954-06-24,Dr. Remeis-Observatory
77019,000009    ,Perseuso,BG12,1954-06-28,Dr. Remeis-Observatory
77021,000010    ,Superomnia,RG1,1954-06-28,Dr. Remeis-Observatory
77023,000011    ,Perseuso,BG12,1954-06-28,Dr. Remeis-Observatory
77029,000014    ,Perseuso,BG12,1954-07-05,Dr. Remeis-Observatory
77031,000015    ,Superomnia,RG1,1954-07-05,Dr. Remeis-Observatory
77033,000016    ,Perseuso,BG12,1954-07-05,Dr. Remeis-Observatory
