plate_id,plate_num,emulsion,filter,date_orig,observatory
63651,ES01593   ,Kodak 103a-E,RG2(=630),1976-08-14,European Southern Observatory
63652,ES01595   ,Kodak 098-04,RG2(=630),1976-08-14,European Southern Observatory
63653,ES01637   ,Kodak 103a-E,RG2(=630),1976-09-14,European Southern Observatory
63654,ES01638   ,Kodak 103a-E,RG2(=630),1976-09-14,European Southern Observatory
63655,ES01596   ,,RG2(=630),1976-08-15,European Southern Observatory
63686,ES02784   ,Kodak IIIa-F,RG2(=630),1978-05-07,European Southern Observatory
63687,ES02788   ,Kodak IIIa-F,RG2(=630),1978-05-08,European Southern Observatory
63689,ES02706   ,Kodak IIa-O,GG13(=385),1978-03-07,European Southern Observatory
63690,ES02812   ,Kodak IIIa-F,RG2(=630),1978-06-07,European Southern Observatory
63691,ES02890   ,Kodak 098-04,RG2(=630),1978-08-27,European Southern Observatory
63694,ES02957   ,Kodak 098-04,RG2(=630),1978-09-07,European Southern Observatory
63695,ES02961   ,Kodak 098-04,RG2(=630),1978-09-08,European Southern Observatory
63697,ES04037   ,Kodak IIIa-F (hyp.-sens.),GG14(=495),1980-01-12,European Southern Observatory
63698,ES03720   ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1980-05-10,European Southern Observatory
63699,ES03721   ,Kodak IIIa-F,RG2(=630),1980-05-10,European Southern Observatory
63700,ES03722   ,Kodak IIIa-F,RG2(=630),1980-05-10,European Southern Observatory
63701,ES03738   ,Kodak IIa-O,GG7(=475),1980-05-21,European Southern Observatory
63702,ES03742   ,Kodak IIa-O,GG7(=475),1980-05-22,European Southern Observatory
63703,ES03745   ,Kodak 098-04,RG2(=630),1980-05-23,European Southern Observatory
63704,ES03746   ,Kodak 098-04,RG2(=630),1980-05-23,European Southern Observatory
63706,ES03749   ,Kodak 098-04,RG2(=630),1980-05-24,European Southern Observatory
63707,ES04815   ,Kodak IIIa-F (hyp.-sens.),GG14(=495),1980-05-24,European Southern Observatory
63708,ES03770   ,Kodak 098-04,RG2(=630),1980-06-16,European Southern Observatory
63709,ES03771   ,Kodak IIa-O,GG7(=475),1980-06-17,European Southern Observatory
