plate_id,plate_num,emulsion,filter,date_orig,observatory
70372,0003      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-16,Thüringer Landesternwarte Tautenburg
70373,0004      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-16,Thüringer Landesternwarte Tautenburg
70374,0005      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-17,Thüringer Landesternwarte Tautenburg
70375,0010      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-22,Thüringer Landesternwarte Tautenburg
70376,0011      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-24,Thüringer Landesternwarte Tautenburg
70377,0012      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-24,Thüringer Landesternwarte Tautenburg
70378,0014      ,blue-sensitive plate (O; AS; ZU),without filter,1960-11-26,Thüringer Landesternwarte Tautenburg
70379,0034      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-12,Thüringer Landesternwarte Tautenburg
70380,0035      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-12,Thüringer Landesternwarte Tautenburg
70381,0043      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-17,Thüringer Landesternwarte Tautenburg
70382,0048      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-18,Thüringer Landesternwarte Tautenburg
70383,0049      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-18,Thüringer Landesternwarte Tautenburg
70384,0053      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-19,Thüringer Landesternwarte Tautenburg
70385,0054      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-19,Thüringer Landesternwarte Tautenburg
70386,0061      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-19,Thüringer Landesternwarte Tautenburg
70387,0062      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-19,Thüringer Landesternwarte Tautenburg
70388,0063      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-19,Thüringer Landesternwarte Tautenburg
70389,0064      ,blue-sensitive plate (O; AS; ZU),without filter,1961-01-19,Thüringer Landesternwarte Tautenburg
70390,0080      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-05,Thüringer Landesternwarte Tautenburg
70391,0086      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-14,Thüringer Landesternwarte Tautenburg
70392,0088      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-14,Thüringer Landesternwarte Tautenburg
70393,0089      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-14,Thüringer Landesternwarte Tautenburg
70394,0092      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-14,Thüringer Landesternwarte Tautenburg
70395,0093      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-14,Thüringer Landesternwarte Tautenburg
70396,0094      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-15,Thüringer Landesternwarte Tautenburg
70397,0095      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-15,Thüringer Landesternwarte Tautenburg
70398,0096      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-15,Thüringer Landesternwarte Tautenburg
70399,0097      ,blue-sensitive plate (O; AS; ZU),without filter,1961-02-15,Thüringer Landesternwarte Tautenburg
