Gaia source id,SIMBAD,RA,DEC,SpType,Teff,parallax,parallax_error,ruwe,distance,E_distance,e_distance,Luminosity,E_Luminosity,e_Luminosity,Vickers category
565507868441719424,IRAS 01005+7910,01:04:45.5,+79:26:47,B2,4.36,0.2414,0.0176,1.037,3.685,0.25699997,0.22399998,2471.0,358.0,290.0,1
2351623413515105920,BPS CS22946-0005,01:16:52.9,-22:12:09,B,4.26,-0.03566,0.03403,1.017,13.85,3.3899994,4.257,1237.0,681.0,643.5,2
4715635535640762240,LB 3193,01:18:53.3,-61:55:41,,,0.1369,0.02433,0.7787,5.71,0.9250002,0.7119999,521.6,182.90002,121.99997,1
532078488709487360,IRAS 01259+6823,01:29:33.3,+68:39:15,F5Ie,3.81,0.6155,0.141,1.309,1.781,0.6750001,0.34600008,406.2,366.09998,142.6,2
4686479751449676032,LB 3219,01:30:22.9,-73:03:33,B,4.26,-0.06748,0.02376,0.9284,29.23,11.350002,9.039999,48700.0,45200.0,25500.0,1
351149177434709760,IRAS 01427+4633,01:45:47.0,+46:49:02,F2III,3.85,0.2929,0.01678,1.058,3.078,0.16499996,0.13400006,1913.0,212.0,162.0,3
459182413984008448,IRAS 02143+5852,02:17:57.7,+59:05:53,F7Ie,3.79,1.364,0.2892,18.69,0.8538,0.2762,0.17479998,87.47,65.729996,32.14,2
513671461473684352,IRAS Z02229+6208,02:26:41.6,+62:21:23,K0,3.64,0.3806,0.06015,2.454,2.352,0.33500004,0.28900003,7978.0,2422.0,1838.0,1
433515788197481984,IRAS 02528+4350,02:56:11.3,+44:02:54,A0e,3.99,2.541,0.01881,1.234,0.3899,0.002700001,0.0031999946,13.68,0.18999958,0.22000027,2
3303343395568710016,IRAS 03507+1115,03:53:28.9,+11:24:21,M7,3.47,3.836,0.2739,2.844,0.2602,0.021300018,0.016599998,10700.0,1800.0,1360.0,3
471908436438311680,IRAS 04215+6000,04:25:50.8,+60:07:12,W9,4.643,0.1528,0.01641,1.1,5.232,0.6750002,0.43899965,2300.0,631.0,371.0,3
173086700992466688,IRAS 04296+3429,04:32:57.0,+34:36:11,G0Ia,3.76,-0.3795,0.1734,5.758,5.048,2.1030002,1.1489999,6168.0,6232.0,2488.0,1
255225480926107392,IRAS 05040+4820,05:07:50.4,+48:24:09,A4Ia,3.935,0.3221,0.01446,1.02,2.839,0.12299991,0.12800002,5255.0,466.0,462.0,1
3238918336374596864,IRAS 05089+0459,05:11:36.2,+05:03:26,M3I,3.49,0.7537,0.3454,21.91,1.336,0.60800004,0.34659994,223.0,249.6,100.6,2
3388902129107252992,IRAS 05113+1347,05:14:07.7,+13:50:29,G5I,3.7,-0.009228,0.1459,6.663,4.63,3.7860003,1.3170002,2615.0,6027.0,1276.0,1
3422437684728294528,IRAS 05140+2851,05:17:15.5,+28:54:20,F0,3.87,0.8939,0.07888,2.834,1.085,0.125,0.08000004,14600.0,3500.0,2100.0,2
2968265509022275840,IRAS 05208-2035,05:22:59.5,-20:32:52,,,0.6872,0.03039,2.184,1.403,0.059000015,0.052999973,854.4,73.39996,63.600037,1
4758015524139610880,CPD-61 455,05:23:33.7,-60:55:28,B1,4.42,0.6942,0.03466,1.683,1.395,0.08500004,0.07700002,95.41,11.889999,10.320007,1
2902505745786910080,IRAS F05338-3051,05:35:44.2,-30:49:35,G5,3.7,0.5225,0.01584,1.094,1.85,0.042999983,0.04400003,2050.0,97.0,96.0,2
3334854780347915520,IRAS 05341+0852,05:36:55.2,+08:54:08,F6I,3.8,0.5102,0.1935,12.96,2.057,0.7220001,0.45299995,347.1,286.1,136.20001,1
3336558507975208448,IRAS 05381+1012,05:40:57.1,+10:14:25,G2I,3.73,1.038,0.01606,1.042,0.9368,0.010200024,0.010699987,126.4,2.7999954,2.9000015,1
994259335315643520,IRAS 06338+5333,06:37:52.2,+53:31:02,F7IV:,3.79,0.2678,0.02449,1.622,3.399,0.27800012,0.27699995,3211.0,548.0,501.0,1
3105987960396950784,IRAS 06530-0213,06:55:31.7,-02:17:27,F5Ia,3.81,0.2412,0.07421,3.657,3.778,1.2119997,0.8920002,2298.0,1711.0,957.0,1
3159640386918214528,IRAS 07008+1050,07:03:39.8,+10:46:12,A0,3.99,0.5178,0.02971,1.348,1.813,0.110000014,0.10599995,4068.0,507.0,465.0,1
3108327343185135872,IRAS 07131-0147,07:15:41.8,-01:52:40,M5III,3.47,0.79,0.132,8.333,1.252,0.21500003,0.15799999,86.17,32.230003,20.379997,2
5617989266685365120,IRAS 07140-2321,07:16:08.3,-23:27:03,F5,3.81,0.1785,0.01227,1.029,5.122,0.4039998,0.37700033,9548.0,1552.0,1354.0,2
3156171118495247360,IRAS 07134+1005,07:16:10.3,+09:59:47,F5I,3.81,0.4538,0.02398,0.9215,2.099,0.11000013,0.10799992,3296.0,355.0,330.0,1
3032030620730261376,IRAS 07227-1320,07:25:03.0,-13:26:20,M1I,3.56,0.4894,0.02147,1.176,1.982,0.074,0.06700003,393.0,29.600006,26.399994,2
5620444471847839232,IRAS 07253-2001,07:27:33.0,-20:07:21,F2I,3.85,2.454,0.5164,42.89,0.4521,0.1672,0.09,25.55,22.380001,9.16,1
3151417586128916864,IRAS 07430+1115,07:45:51.4,+11:08:20,M2I,3.54,3.058,0.5008,21.8,0.3609,0.081799984,0.06130001,20.32,10.25,6.3199997,1
5597822402371118336,IRAS 07577-2806,07:59:46.5,-28:14:54,,,0.7765,0.1603,10.21,1.423,0.398,0.24899995,54.66,34.84,17.470001,1
5698817012142459136,IRAS 08005-2356,08:02:40.8,-24:04:44,F5Iae,3.81,-0.2573,0.08291,5.902,9.183,2.137,1.6869998,54200.0,28200.0,18100.0,1
5545800762036628736,IRAS 08057-3417,08:07:40.0,-34:26:04,,,0.2582,0.02479,2.062,3.859,0.4360001,0.32800007,5839.0,1392.0,951.0,1
5520238967817034880,IRAS 08143-4406,08:16:03.1,-44:16:05,F8I,3.78,0.2382,0.01751,1.433,4.155,0.41299963,0.27800012,3401.0,711.0,440.0,1
