local_id,ref_number,magcal_magdep,magcal_magdep_rms,limiting_mag_local,pos.ra,pos.dec,fwhm_world,ellipticity,theta_j2000,iso_area_world,aflags,bflags,local_bin_reject_flag,series,platenum,mosnum,solnum,expnum,image_x,image_y,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,magcal_local_error,drad_rms2,extinction,magcor_local,blended_mag,a2flags,b2flags,npoints_local,local_bin_index,spatial_bin,magdep_bin,mag_iso,mag_aper,mag_auto,flux_iso,background,flux_max,fwhm_image,kron_radius,sxt_iso0,sxt_iso1,sxt_iso2,sxt_iso3,sxt_iso4,sxt_iso5,sxt_iso6,sxt_iso7,time_accuracy,catalog_ra,catalog_dec,pm_ra_cosdec,pm_dec,plate_dist,sxt_number,gsc_bin_index,dasch_photdb_version_id,dasch_mask_index,reject,exp_local_id,year
0,420061551442725,12.202686,,13.172056,301.565121,44.457094,0.009403,0.511,-87.36,3e-05,0,1349451776,0,i,83,0,0,0,8574.024,18024.082,12.582202,0.176092,12.202686,0.121554,0.090718,1.439014,0.463,-0.077896,,0,0,54,2074,5,750,-12.981,-11.4358,-13.0732,155733.1,3386.215,2039.575,18.91,4.2,124,114,106,94,76,52,32,10,0.0007,301.56488,44.457165,-11.2,-9.2,3.5104,420543,143663284,10,0,0,15,1889.8522251498969
1,420061551442725,12.714191,,13.794129,301.564373,44.457868,0.007003,0.173,40.29,3.2e-05,67108864,1349386243,0,i,1893,1,0,0,15232.945,7920.83,13.193007,0.178193,12.714191,0.138865,0.202195,2.048276,0.434,0.039736,,0,0,51,943,5,530,-12.8226,-11.3206,-13.1345,134592.6,4814.682,1797.173,14.08,3.5,129,117,110,90,77,54,32,10,0.0007,301.56488,44.45716,-11.2,-9.2,3.592,147626,143663284,10,0,0,38,1890.7477157700202
2,420061551442725,12.271076,,13.87188,301.564561,44.457359,0.005117,0.327,73.92,2e-05,128,1349451776,0,i,2351,0,0,0,7789.834,13911.03,12.80711,0.17355,12.271076,0.136187,0.118334,1.277057,0.591,-0.073254,,0,0,53,1572,1,654,-12.6401,-11.7021,-12.8392,113772.8,4073.04,2408.407,10.27,4.67,81,79,68,57,41,34,25,11,0.0007,301.56488,44.45716,-11.2,-9.2,1.5319,152165,143663284,10,0,0,50,1890.9063361478443
3,420061551442725,12.185282,0.096714,13.349406,301.564843,44.457055,0.007017,0.391,86.86,3.8e-05,0,1349453824,0,i,2513,0,0,0,7566.798,14124.573,12.865015,0.123709,12.248238,0.136105,0.157654,1.323944,0.597,-0.007147,,0,0,72,1621,2,673,-12.9114,-11.4491,-13.1419,146074.6,3780.312,1900.795,14.08,4.72,151,128,105,88,66,47,34,12,0.0007,301.56488,44.45716,-11.2,-9.2,1.6757,810111,143663284,10,0,0,56,1890.9664084845995
4,420061551442725,12.400038,,13.273058,301.564965,44.456968,0.004181,0.27,52.07,2.9e-05,0,1349451776,0,i,2801,0,0,0,7893.226,14103.401,12.99698,0.184687,12.400038,0.119256,0.209351,1.381279,0.735,-0.130438,,0,0,69,1622,2,673,-12.8658,-11.8033,-12.9673,140056.2,3624.309,2771.302,8.39,3.5,114,102,85,76,62,46,26,13,0.0007,301.56488,44.45716,-11.2,-9.2,1.6106,742183,143663284,10,0,0,58,1891.0375031731694
5,420061551442725,12.269802,,12.994033,301.564409,44.457077,0.007657,0.402,-87.21,3.3e-05,0,1349451776,0,i,4047,0,0,0,9710.013,3484.02,12.657186,0.160663,12.269802,0.124465,0.130452,1.311248,0.405,-0.027776,,0,0,65,377,6,447,-13.522,-12.0089,-13.8016,256333.6,1208.609,3095.371,15.4,4.51,136,129,107,92,78,65,53,19,0.0007,301.56485,44.457157,-11.2,-9.2,3.7863,111111,143663284,10,0,0,67,1891.6349553292264
6,420061551442725,12.134514,0.117927,13.73095,301.564947,44.457015,0.005442,0.222,-72.37,2.7e-05,128,1349453824,0,i,6863,0,0,0,3637.865,13166.537,12.714416,0.191263,12.193215,0.172156,0.139271,1.34038,0.402,0.112089,,0,0,63,1460,3,649,-12.7924,-11.582,-13.1587,130906.5,4423.7,2053.221,10.93,4.7,105,96,82,67,54,41,30,11,0.0007,301.56485,44.457157,-11.2,-9.2,2.7695,282917,143663284,10,0,0,86,1892.6833856919911
8,420061551442725,12.177497,,13.740597,301.56485,44.457654,0.004645,0.293,-14.03,2.4e-05,0,1349451776,0,i,7092,0,0,0,11124.452,13394.114,12.560763,0.143962,12.177497,0.120509,0.088697,1.325527,0.408,0.009302,,0,0,33,1531,1,658,-12.5269,-11.6736,-12.721,102506.9,4023.648,2755.565,9.32,3.53,93,83,62,44,37,28,17,11,0.0007,301.56485,44.457157,-11.2,-9.2,1.7062,517969,143663284,10,0,0,90,1892.7189328569477
11,420061551442725,12.24338,0.107769,14.675096,301.56479,44.457235,0.003888,0.085,27.13,3.3e-05,128,1349453824,0,i,7203,0,0,0,10800.319,12986.553,12.70099,0.138629,12.27842,0.09276,0.136985,1.445058,0.399,0.039826,,0,0,114,1480,1,657,-13.0511,-11.9409,-13.087,166122.8,3917.719,2778.185,7.8,3.5,136,125,109,94,80,63,43,24,0.0007,301.56485,44.457157,-11.2,-9.2,1.4322,797168,143663284,10,0,0,93,1892.7488665325118
13,420061551442725,12.083298,0.101953,14.152368,301.564599,44.457148,0.005655,0.238,-17.77,3.5e-05,0,1349453824,0,i,8962,0,0,0,3496.985,12798.699,12.49805,0.170713,12.119513,0.109653,0.125742,1.570071,0.399,-0.023003,,0,0,46,1459,3,630,-13.1096,-11.6035,-13.2098,175317.2,4313.531,2071.701,11.36,3.5,142,135,121,109,94,73,57,19,0.0007,301.56485,44.457153,-11.2,-9.2,2.7687,294714,143663284,10,0,0,118,1893.5734342806293
